account,postdate,tweet,link,topic_tag,comments,retweets,likes,shares,replysource,platform,views
kay_wise_threads,2025-09-04 00:39:54+00:00,"Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/ 1/4 Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/",https://www.threads.com/@kay_wise_threads/post/DOKRiodkYEO,,1000,1200,16400,297.0,,threads,
nani_wai,2025-01-02 22:09:22+00:00,Things I will not be getting in 2025 Things I will not be getting in 2025 - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella Because of vaccines. Because of vaccines. I’m vaccinated. I’m vaccinated.,https://www.threads.com/@nani_wai/post/DEVuWkyzJjW,,128,0,21200,0.0,,threads,
late.july,2025-03-11 23:53:39+00:00,"late.julyVerified All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. Science is so neat. Science is so neat.",https://www.threads.com/@late.july/post/DHFAV4Xy4Wi,,0,0,19400,0.0,,threads,
gernorlat,2025-08-13 02:10:31+00:00,"I’m old enough to have lived through measles, mumps, chicken pox, and rubella before there were vaccines for them. Rubella wasn’t bad, but if a pregnant woman gets it, it can cause severe harm to the developing fetus. Mumps was awful. Chicken pox was torture. Imagine unbearable itching all over but you can’t scratch. Measles was the sickest I have ever been in my life. It can damage the eyes, so I had to lie in a darkened room, no reading, no TV. This generation has no idea. I’m old enough to have lived through measles, mumps, chicken pox, and rubella before there were vaccines for them. Rubella wasn’t bad, but if a pregnant woman gets it, it can cause severe harm to the developing fetus. Mumps was awful. Chicken pox was torture. Imagine unbearable itching all over but you can’t scratch. Measles was the sickest I have ever been in my life. It can damage the eyes, so I had to lie in a darkened room, no reading, no TV. This generation has no idea.",https://www.threads.com/@gernorlat/post/DNRybKfspMx,,0,0,0,0.0,,threads,
maryrosscrawford,2025-12-30 15:21:58+00:00,"I stood in line in a high school gym in 1961 so I wouldn't get polio. I was vaccinated against small pox. I had measles, mumps and rubella as a child because no vaccines were available. I get regular flu and COVID shots and boosters. So far, the after effects are that i haven't been crippled or died unnecessarily. I'm 71. I stood in line in a high school gym in 1961 so I wouldn't get polio. I was vaccinated against small pox. I had measles, mumps and rubella as a child because no vaccines were available. I get regular flu and COVID shots and boosters. So far, the after effects are that i haven't been crippled or died unnecessarily. I'm 71.",https://www.threads.com/@maryrosscrawford/post/DS5HfhtDkPs,,0,0,0,0.0,,threads,
itsrachelonline,2025-03-03 01:40:42+00:00,What is the Oregon Fucking Trail timeline are we in?!? What is the Oregon Fucking Trail timeline are we in?!? Measles? Rubella??! DYSENTARY?!?!? Measles? Rubella??! DYSENTARY?!?!?,https://www.threads.com/@itsrachelonline/post/DGuBcD8tAgr,,59,0,2700,0.0,,threads,
drtehwaibin_paeds,2025-07-29 03:10:51+00:00,"Hi mommy. I'm Dr. Teh, Paeds here from JB. Hi mommy. I'm Dr. Teh, Paeds here from JB. Yes encourage to take as booster for protection since child is already 4y.o, last MMR was like during 1 year old for her. This vaccine is MR (only measles n rubella), not MMR. Yes encourage to take as booster for protection since child is already 4y.o, last MMR was like during 1 year old for her. This vaccine is MR (only measles n rubella), not MMR. Best is anak also covered with other vaccination like influenza or chicken pox as well ya. Best is anak also covered with other vaccination like influenza or chicken pox as well ya.",https://www.threads.com/@drtehwaibin_paeds/post/DMrRZ6myp8T,,0,0,0,0.0,,threads,
lauras.write.edits,2025-02-22 03:02:30+00:00,"Since anti-vaxxers prefer anecdotal evidence rather than scientific, I am going to give anecdotal evidence to explain why I am pro-vaccines. Since anti-vaxxers prefer anecdotal evidence rather than scientific, I am going to give anecdotal evidence to explain why I am pro-vaccines. Gather round friends, and let me tell you about my grandma. Gather round friends, and let me tell you about my grandma. My grandma was born in 1934. As she grew up, she caught whooping cough, chicken pox, and rubella TWICE each. Yes, you read that right. Twice. One of my theories that her immune system got wiped out by measles at some point. (1) 1/4 My grandma was born in 1934. As she grew up, she caught whooping cough, chicken pox, and rubella TWICE each. Yes, you read that right. Twice. One of my theories that her immune system got wiped out by measles at some point. (1)",https://www.threads.com/@lauras.write.edits/post/DGW_pavs3Ja,,0,0,1000,0.0,,threads,
kateravenbooks,2025-05-23 19:17:14+00:00,"Microdosing measles, mumps, & rubella to activate your natural immune system is the crunchiest and safest natural method! And it’s available for free at your doctor’s office or pharmacy 🌿🍃☀️ Microdosing measles, mumps, & rubella to activate your natural immune system is the crunchiest and safest natural method! And it’s available for free at your doctor’s office or pharmacy 🌿🍃☀️",https://www.threads.com/@kateravenbooks/post/DKAevU8SEgI,,123,0,5800,0.0,,threads,
iamthirtyaf,2025-04-03 21:51:27+00:00,"iamthirtyafVerified I got the three rounds of MMR vaccines when I was a kid. After hearing from a friend that the lifelong immunity doesn’t actually hold for everybody, I asked my doctor if I could get checked to see if I am still immune to measles. I just got my results back and have full mumps immunity, low to no immunity to measles, and no immunity to rubella. Booster appointment is scheduled for next week! Pretty easy to schedule a blood test and get checked, just a heads up 💕 I got the three rounds of MMR vaccines when I was a kid. After hearing from a friend that the lifelong immunity doesn’t actually hold for everybody, I asked my doctor if I could get checked to see if I am still immune to measles. I just got my results back and have full mumps immunity, low to no immunity to measles, and no immunity to rubella. Booster appointment is scheduled for next week! Pretty easy to schedule a blood test and get checked, just a heads up 💕",https://www.threads.com/@iamthirtyaf/post/DIAApEcAcmY,,228,0,5500,0.0,,threads,
neodocjdg,2025-12-12 00:48:32+00:00,"With measles starting to come back due to lack of herd immunity I’m starting to worry about congenital rubella; it’s basically silent until a pregnant person gets it. With measles starting to come back due to lack of herd immunity I’m starting to worry about congenital rubella; it’s basically silent until a pregnant person gets it. Congenital rubella causes a series of birth defects which cause life long disability if the child survives including deafness, heart defects, cataracts, and intellectual disabilities. Congenital rubella causes a series of birth defects which cause life long disability if the child survives including deafness, heart defects, cataracts, and intellectual disabilities.",https://www.threads.com/@neodocjdg/post/DSJNOgnDGjI,Measles,0,0,0,0.0,,threads,
holistichealthandmore,2025-10-14 10:36:10+00:00,Did you know the rubella vaccine was tested on orphaned and institutionalized children in the 1960s? Did you know the rubella vaccine was tested on orphaned and institutionalized children in the 1960s? Dr. Stanley Plotkin admitted it under oath. Dr. Stanley Plotkin admitted it under oath.,https://www.threads.com/@holistichealthandmore/post/DPyVk1uDape,vaccines,0,0,0,0.0,,threads,
barbieann5280,2025-09-08 14:30:15+00:00,"By pure luck, I've never had Polio, Tetanus, Diphtheria, Rabies, Rubella, Measles, or Mumps. 🙏 Just kidding, it's because l'm vaccinated, and they work. By pure luck, I've never had Polio, Tetanus, Diphtheria, Rabies, Rubella, Measles, or Mumps. 🙏 Just kidding, it's because l'm vaccinated, and they work.",https://www.threads.com/@barbieann5280/post/DOWDv2jjpFo,,0,0,1100,0.0,,threads,
blythern01,2025-10-08 23:57:20+00:00,"Public health nurse here with a little FYI.  Single entity vaccines for Measles, Mumps, and Rubella DON’T EVEN EXIST!!  For the love of all, I can’t anymore. Public health nurse here with a little FYI.  Single entity vaccines for Measles, Mumps, and Rubella DON’T EVEN EXIST!!  For the love of all, I can’t anymore.",https://www.threads.com/@blythern01/post/DPkUfgWDPi1,,0,0,0,0.0,,threads,
senmarkeymemes,2025-09-19 14:14:19+00:00,"senmarkeymemesVerified Measles. Mumps. Rubella. This vaccine is safe, it’s effective, and it protects us all. RFK Jr. is leading our country into a dangerous, uncertain future. He must resign. 1/2 Measles. Mumps. Rubella. This vaccine is safe, it’s effective, and it protects us all. RFK Jr. is leading our country into a dangerous, uncertain future. He must resign.",https://www.threads.com/@senmarkeymemes/post/DOyWqwPDSxx,,0,0,62,0.0,,threads,
weberlaurel,2025-10-26 05:46:00+00:00,"I'm 68 years old and have had every vaccine since they became available. Sugar cube with medicine on it for polio & the TB shot.  I've had measles(twice), rubella, chicken pox & was so happy when the MMA shot was developed so my child didn't have to go through what I did. I have always gotten the flu & COVID vaccine as I  have a compromised immune system & can't trust people to get their vaccines.  Guess what? They work. My daughter, grandsons & I are all healthy & alive.I trust science! I'm 68 years old and have had every vaccine since they became available. Sugar cube with medicine on it for polio & the TB shot.  I've had measles(twice), rubella, chicken pox & was so happy when the MMA shot was developed so my child didn't have to go through what I did. I have always gotten the flu & COVID vaccine as I  have a compromised immune system & can't trust people to get their vaccines.  Guess what? They work. My daughter, grandsons & I are all healthy & alive.I trust science!",https://www.threads.com/@weberlaurel/post/DQQt6GCDif-,,0,0,0,0.0,,threads,
alma_122889,2025-10-26 10:02:47+00:00,"Bener ga sh vaksin rotavirus mencegah diare? Kalo iya, kenapa anakku masih diare ya? Udah 2x vaksin rotavirus.. Terimakasih yg sudah menjawab...  Translate 1/2 Bener ga sh vaksin rotavirus mencegah diare? Kalo iya, kenapa anakku masih diare ya? Udah 2x vaksin rotavirus.. Terimakasih yg sudah menjawab...",https://www.threads.com/@alma_122889/post/DQRLSzBD65Y,imunisasi,0,0,0,0.0,,threads,
jannahghani,2025-05-28 10:24:40+00:00,Dah baik demam 3 hari tiba tiba harini naik bintik pulak. Macam campak. Mama mama ada tips tak untuk surutkan bintik campak ni☹️  Translate Dah baik demam 3 hari tiba tiba harini naik bintik pulak. Macam campak. Mama mama ada tips tak untuk surutkan bintik campak ni☹️,https://www.threads.com/@jannahghani/post/DKMZxBbykT9,,0,0,0,0.0,,threads,
sunsetfrenzy,2025-08-27 01:21:58+00:00,"Bicara tentang vaksin dan anti vaksin yg akhir-akhir ini lagi viral. Langit itu vaksinnya lengkap, pas dia umur 6 bulan dia kena cacar. Saya bersyukur ga butuh waktu lama untuk dia recovery, dan selama sakit dia masih bisa haha-hihi. Bayangin kalo anak ga divaksin lengkap terus kena cacar, komplikasinya bisa lebih serius. Yg vaksin aja tetep anak itu ngerasain sakit, gimana yg ga vaksin? ☺️ Ga menerima comment orang ngeyel yg anti vaksin, tak sebul mbun-mbunanmu lek sik ngeyel ae.  Translate Bicara tentang vaksin dan anti vaksin yg akhir-akhir ini lagi viral. Langit itu vaksinnya lengkap, pas dia umur 6 bulan dia kena cacar. Saya bersyukur ga butuh waktu lama untuk dia recovery, dan selama sakit dia masih bisa haha-hihi. Bayangin kalo anak ga divaksin lengkap terus kena cacar, komplikasinya bisa lebih serius. Yg vaksin aja tetep anak itu ngerasain sakit, gimana yg ga vaksin? ☺️ Ga menerima comment orang ngeyel yg anti vaksin, tak sebul mbun-mbunanmu lek sik ngeyel ae.",https://www.threads.com/@sunsetfrenzy/post/DN1v_1SZlPB,Vaksin,0,0,1100,0.0,,threads,
dokteranakbunda,2025-11-27 14:16:41+00:00,"Tips buat menekan biaya vaksin anak: 1. Vaksin yg ada di program nasional, disediakan di puskesmas, diikuti, semuanya gratis 2. Vaksin tambahan yg di klinik/DSA, bisa riset kecil2an utk membandingkan biayanya Tips buat menekan biaya vaksin anak: 1. Vaksin yg ada di program nasional, disediakan di puskesmas, diikuti, semuanya gratis 2. Vaksin tambahan yg di klinik/DSA, bisa riset kecil2an utk membandingkan biayanya (Saat ini, saya lagi susun e-book tentang A-Z imunisasi anak. Cuplikannya berikut, ya)  Translate 1/2 (Saat ini, saya lagi susun e-book tentang A-Z imunisasi anak. Cuplikannya berikut, ya)",https://www.threads.com/@dokteranakbunda/post/DRkByhFEjL5,,0,0,0,0.0,,threads,
kaliobakuah,2025-11-10 03:15:03+00:00,MANGKANYA IMUNISASI DASAR LENGKAP!!!  KALIAN SELAMA INI AMAN KARNA DILINDUNGI SAMA LINGKUNGAN KALIAN YANG IMUNISASI TAPI KALIAN JADI TERLALU SOMBONG DAN SOK MEMPENGARUHI  YANG LAIN UNTUK MENGIKUTI LANGKAH GILA KALIAN JADILAH HERD IMMUNITY ITU JEBOL DAN PENYAKIT MENULAR MEMATIKAN ITU BANGKIT LAGI. KALIAN ANTI IMUNISASI ITU DZALIM KE ANAK SENDIRI JUGA KE MASYARAKAT SEKITAR  Translate MANGKANYA IMUNISASI DASAR LENGKAP!!!  KALIAN SELAMA INI AMAN KARNA DILINDUNGI SAMA LINGKUNGAN KALIAN YANG IMUNISASI TAPI KALIAN JADI TERLALU SOMBONG DAN SOK MEMPENGARUHI  YANG LAIN UNTUK MENGIKUTI LANGKAH GILA KALIAN JADILAH HERD IMMUNITY ITU JEBOL DAN PENYAKIT MENULAR MEMATIKAN ITU BANGKIT LAGI. KALIAN ANTI IMUNISASI ITU DZALIM KE ANAK SENDIRI JUGA KE MASYARAKAT SEKITAR,https://www.threads.com/@kaliobakuah/post/DQ3EjnliaI8,,0,0,0,0.0,,threads,
anismahrun,2025-07-30 08:31:21+00:00,Aku dulu mikirnya kalau vaksin cukup yang dicover pemerintah aja kali ya ( sesuai yang di buku KIA) tp semenjak usia anakku 1 tahun dan aku baru kasih vaksin influenza aku nyesel kenapa ga dari dulu aku kasih vaksin tambahan yg ga dicover pemerintah. Semoga ayah ibu dilimpahkan rezeki biar bisa kasih vaksin2 tambahan yg ga dicover pemerintah. Aamiin 🤲  Translate Aku dulu mikirnya kalau vaksin cukup yang dicover pemerintah aja kali ya ( sesuai yang di buku KIA) tp semenjak usia anakku 1 tahun dan aku baru kasih vaksin influenza aku nyesel kenapa ga dari dulu aku kasih vaksin tambahan yg ga dicover pemerintah. Semoga ayah ibu dilimpahkan rezeki biar bisa kasih vaksin2 tambahan yg ga dicover pemerintah. Aamiin 🤲,https://www.threads.com/@anismahrun/post/DMua4JRxUEK,VaksinAnak,0,0,0,0.0,,threads,
tiara401,2025-11-19 09:45:19+00:00,"tiara401Verified Ini pasien temenku, dengan pneumonia campak :( sedih banget liatnya. Ini pasien temenku, dengan pneumonia campak :( sedih banget liatnya. Semoga ga makin rame yaa para antivaks ini. Kalo udah mau nyerah menghadapi mereka, aku suka mengutip kata2 ini. Semoga ga makin rame yaa para antivaks ini. Kalo udah mau nyerah menghadapi mereka, aku suka mengutip kata2 ini. ""Only Vaccinate The Kids You Want To Keep""  Translate ""Only Vaccinate The Kids You Want To Keep""",https://www.threads.com/@tiara401/post/DRO8X8liRTz,VaccinesSaveLives,0,0,0,0.0,,threads,
iogh_bp,2025-11-25 02:56:41+00:00,4 Minggu ini kasus campak membeludak* Farahhhh ( parah versi Sunda ) Kalo Udha vaksin sih campaknya ringan Yang belum vaksin nih sampe pneumonia. Diare hebat muntah2 hebat 4 Minggu ini kasus campak membeludak* Farahhhh ( parah versi Sunda ) Kalo Udha vaksin sih campaknya ringan Yang belum vaksin nih sampe pneumonia. Diare hebat muntah2 hebat Ampun ya Allah  Please jangan lupa vaksin anakmu di usia 9 bulan ya....  Translate 1/2 Ampun ya Allah  Please jangan lupa vaksin anakmu di usia 9 bulan ya....,https://www.threads.com/@iogh_bp/post/DRdqYTvAet8,campak,0,0,0,0.0,,threads,
caeclia,2025-11-08 06:36:26+00:00,"Hari ini bawa anak buat vaksin influenza dosis yg kedua sblm pengulangan tahunan. Rasanya seneng banget & bangga wkwkwk 😝 suami jg keliatan makin antusias & aware buat vaksin jenis lainnya 😆 next direkomendasiin dokternya vaksin cacar air, mangats kerjanya 🤣🙌🏻  Translate Hari ini bawa anak buat vaksin influenza dosis yg kedua sblm pengulangan tahunan. Rasanya seneng banget & bangga wkwkwk 😝 suami jg keliatan makin antusias & aware buat vaksin jenis lainnya 😆 next direkomendasiin dokternya vaksin cacar air, mangats kerjanya 🤣🙌🏻",https://www.threads.com/@caeclia/post/DQySA14D49L,VaksinAnak,0,0,0,0.0,,threads,
c.aryatyas,2025-09-06 17:40:42+00:00,"BIDAN SENGAJA SALAH NGASIH VAKSIN! BIDAN SENGAJA SALAH NGASIH VAKSIN! Hari ini dibuat emosi banget sama salah satu klinik kesehatan di Bandar Lampung. Sengaja dari jauh-jauh hari sudah cari info sana-sini kira-kira bulan ini anakku mau imunisasi DPT 2, PCV dan rotavirus di mana. Karena emang sengaja mau cari lokasi lain dari tempat imunisasi pertama. Hari ini dibuat emosi banget sama salah satu klinik kesehatan di Bandar Lampung. Sengaja dari jauh-jauh hari sudah cari info sana-sini kira-kira bulan ini anakku mau imunisasi DPT 2, PCV dan rotavirus di mana. Karena emang sengaja mau cari lokasi lain dari tempat imunisasi pertama. FYI sebelumnya DPT 1, PCV, dan rotavirusnya pakai Hexaxim, Prevenar 13 dan Rotarix. Sepengetahuan awamku, merek vaksin sebisa mungkin kan harus sama dari awal sampai akhir.  Translate 1/19 FYI sebelumnya DPT 1, PCV, dan rotavirusnya pakai Hexaxim, Prevenar 13 dan Rotarix. Sepengetahuan awamku, merek vaksin sebisa mungkin kan harus sama dari awal sampai akhir.",https://www.threads.com/@c.aryatyas/post/DORP88wk7wn,imunisasi,0,0,0,0.0,,threads,
mrsresna,2025-11-24 23:57:10+00:00,Yuk para dokter anak  Sedang merawat berapa pasien campak hari ini? Yuk para dokter anak  Sedang merawat berapa pasien campak hari ini? Saya : 4 semua komplikasi pneumonia dan tentunya intake sulit  semua pasien ini juga ga vaksin  Translate 1/2 Saya : 4 semua komplikasi pneumonia dan tentunya intake sulit  semua pasien ini juga ga vaksin,https://www.threads.com/@mrsresna/post/DRdV1eXkgF5,,0,0,0,0.0,,threads,
rosentine.a,2025-11-25 12:07:48+00:00,"Lg bnyk kasus campak ya sptinya, dan dokter2 anak pada bilang parah bngt efeknya utk anak2 yg tidak divaksin. Muntaber parah dan pneumonia sampai hrs masuk NICU. Bahkan bayi yg blm bs vaksin campak jg hrs kena krna blm cukup umurnya utk vaksin. Kl kyk gini gmn pertanggung jawaban dari orang tua yg tdk memvaksin anak2nya? Anak kalian jd penyebar endemi campak skrng. Hrsnya kalian yg anti vaksin gblh pakai BPJS jg kl kyk gini, jd beban yg seharusnya bs dihindari dgn vaksin. Herd immunity hancur.  Translate Lg bnyk kasus campak ya sptinya, dan dokter2 anak pada bilang parah bngt efeknya utk anak2 yg tidak divaksin. Muntaber parah dan pneumonia sampai hrs masuk NICU. Bahkan bayi yg blm bs vaksin campak jg hrs kena krna blm cukup umurnya utk vaksin. Kl kyk gini gmn pertanggung jawaban dari orang tua yg tdk memvaksin anak2nya? Anak kalian jd penyebar endemi campak skrng. Hrsnya kalian yg anti vaksin gblh pakai BPJS jg kl kyk gini, jd beban yg seharusnya bs dihindari dgn vaksin. Herd immunity hancur.",https://www.threads.com/@rosentine.a/post/DRepcvICTQo,,0,0,0,0.0,,threads,
