account,postdate,tweet,link,replysource,platform,has_parent_context,context_text,sentiment_label,sentiment_score,week
Chilya Rosyada Shulcha,2026-06-23 01:26:00+00:00,Hari ini jadwal Jindan vaksin campak aslinya sih udah dari bulan² lalu … Lihat selengkapnya,https://web.facebook.com/photo/?fbid=4393794190839405&set=a.1573115399573979,,facebook,False,Hari ini jadwal Jindan vaksin campak aslinya sih udah dari bulan² lalu … Lihat selengkapnya,neutral,0.977959930896759,2026-06-22
Abu Julaibib,2026-04-15 07:38:00+00:00,"Dukung para nakes Pro vaksin terima 3 suntikan vaksin campak sekaligus, agar mereka kebal sakti mandraguna.",https://web.facebook.com/photo/?fbid=815632421622842&set=pcb.815632491622835,,facebook,False,"Dukung para nakes Pro vaksin terima 3 suntikan vaksin campak sekaligus, agar mereka kebal sakti mandraguna.",neutral,0.9274555444717407,2026-04-13
Fina Nopiana,2026-05-04 08:17:00+00:00,"Dari kecil sampe dewasa masih tetap di vaksinSetelah ini.,vaksin apalagi kah?? #VaksinCampak#BiarTidakDiCampakkan",https://web.facebook.com/vina.bayu.5/posts/pfbid02RLFQi7BCkKnbxiyyZLZmFPFmXe9YS1EGfwS8zRRu9vuzSpTGQQj4eQ5piKx4bHL2l,,facebook,False,"Dari kecil sampe dewasa masih tetap di vaksinSetelah ini.,vaksin apalagi kah?? #VaksinCampak#BiarTidakDiCampakkan",negative,0.9051876068115234,2026-05-04
Ristin,2026-06-18 15:18:00+00:00,"Beberapo hr diisolasi krn kena campak ,Setuo ini baru dimampiri padahal dulu SD prnh vaksin campak lo...",https://web.facebook.com/photo/?fbid=1552455989861743&set=a.114284747012215,,facebook,False,"Beberapo hr diisolasi krn kena campak ,Setuo ini baru dimampiri padahal dulu SD prnh vaksin campak lo...",negative,0.9503485560417175,2026-06-15
R'ky,2026-06-04 20:13:00+00:00,"Dulu waktu kecil di vaksin campak, eeh udah gede d campakan",https://web.facebook.com/photo/?fbid=1315064677429653&set=a.629160722686722,,facebook,False,"Dulu waktu kecil di vaksin campak, eeh udah gede d campakan",negative,0.7647679448127747,2026-06-01
RoHer Vlog,2026-07-03 03:35:00+00:00,Salah tindakan bisa berakibat fatal Harusnya vaksin campak malah d vaksin DPT Kalau udah begini apakah petugas yg memenyunt!k anak tersebut bisa mempertanggung jawabkan tindakannya ?Padahal Ibu nya udah bilang mau vaksin campak tapi malah di vaksin DPT Smoga anak nya cepat sembuh,https://web.facebook.com/flower.ria.56/posts/pfbid0pJcZq7Uv8N6vUxQq9eZDQfWnss2AWshaxhJSedsBYhFfRbgD3T6p4WPmMvvDy95ol,,facebook,False,Salah tindakan bisa berakibat fatal Harusnya vaksin campak malah d vaksin DPT Kalau udah begini apakah petugas yg memenyunt!k anak tersebut bisa mempertanggung jawabkan tindakannya ?Padahal Ibu nya udah bilang mau vaksin campak tapi malah di vaksin DPT Smoga anak nya cepat sembuh,negative,0.9731191396713257,2026-06-29
Risma,2026-04-09 05:01:00+00:00,"Badannya sudah mulai panas efek suntik vaksin campak terkahir,semoga aja tidak terlalu rewel,kalok demamamynya tinggi,biasanya aku kompres pakai minyak telon campur baw… Lihat selengkapnya",https://web.facebook.com/photo/?fbid=1305100511495220&set=a.131349388870344,,facebook,False,"Badannya sudah mulai panas efek suntik vaksin campak terkahir,semoga aja tidak terlalu rewel,kalok demamamynya tinggi,biasanya aku kompres pakai minyak telon campur baw… Lihat selengkapnya",neutral,0.7168827652931213,2026-04-06
Ria Afrian Ria,2025-08-27 03:03:00+00:00,Pelaksanaan vaksin campak kelas 1dan kanker serviks kelas 5 UPTD SDN 1 Braja Yekti Semoga anak anak selalu diberikan kesehatan #vaksincampak#vaksinkankerserviks#SDsederajat@sorotan,https://web.facebook.com/AfrianRia777/posts/pfbid02x9N2vZfCb8FDvnhod2g6kiJzm6ksKqU9H1MojSb2J4d2aFGjpgjxWvbPaVLPHz5pl,,facebook,False,Pelaksanaan vaksin campak kelas 1dan kanker serviks kelas 5 UPTD SDN 1 Braja Yekti Semoga anak anak selalu diberikan kesehatan #vaksincampak#vaksinkankerserviks#SDsederajat@sorotan,neutral,0.9187004566192627,2025-08-25
Klinik Pratiwi,2026-03-08 09:33:00+00:00,"Banyak orang tua belum tahu…kasus CAMPAK pada anak mulai meningkat kembali.Padahal penyakit ini sangat mudah menular dan bisa menyebabkan:• Demam tinggi• Ruam merah di seluruh tubuh• Batuk dan pilek berat• Mata merah• Bahkan komplikasi serius seperti radang paru.Kabar baiknya, campak bisa dicegah dengan imunisasi. Vaksin Campak tersedia di Klinik Pratiwi Setiap sorePukul 16.00 – 21.00 WITAJadi orang tua bisa membawa anak setelah pulang kerja atau setelah anak pulang sekolah. Klinik Pratiwi Reservasi / Informasi:0822-5254-4525Jangan tunggu sampai anak sakit.Lindungi anak dengan imunisasi tepat waktu.#ImunisasiAnak#VaksinCampak#AnakSehat#KlinikPratiwi",https://web.facebook.com/klinik.pratiwi.37/posts/pfbid02cMnQQvuRHCbcAoGEvHSYz7A2BeuPKoUop9aGfbjXSNPRzs8jcfKMBv1xkakPrykUl,,facebook,False,"Banyak orang tua belum tahu…kasus CAMPAK pada anak mulai meningkat kembali.Padahal penyakit ini sangat mudah menular dan bisa menyebabkan:• Demam tinggi• Ruam merah di seluruh tubuh• Batuk dan pilek berat• Mata merah• Bahkan komplikasi serius seperti radang paru.Kabar baiknya, campak bisa dicegah dengan imunisasi. Vaksin Campak tersedia di Klinik Pratiwi Setiap sorePukul 16.00 – 21.00 WITAJadi orang tua bisa membawa anak setelah pulang kerja atau setelah anak pulang sekolah. Klinik Pratiwi Reservasi / Informasi:0822-5254-4525Jangan tunggu sampai anak sakit.Lindungi anak dengan imunisasi tepat waktu.#ImunisasiAnak#VaksinCampak#AnakSehat#KlinikPratiwi",neutral,0.771348237991333,2026-03-02
Fevi Ballu,2025-08-21 23:41:00+00:00,"Vaksin MR (Measles Rubella) adalah vaksin yang digunakan untuk mencegah penyakit campak (measles) dan rubella (campak Jerman). Vaksin ini mengandung virus yang dilemahkan dari kedua penyakit tersebut, sehingga saat disuntikkan, tubuh akan membentuk kekebalan terhadap virus-virus tersebut. Lebih detail mengenai vaksin MR:Penyakit Campak dan Rubella:Campak dan rubella adalah penyakit menular yang disebabkan oleh virus dan dapat ditularkan melalui udara.Pencegahan:Vaksin MR sangat efektif dalam mencegah kedua penyakit ini dan telah terbukti aman serta digunakan di banyak negara. Manfaat:Mencegah campak dan rubella. Mencegah komplikasi serius yang dapat ditimbulkan oleh kedua penyakit, seperti pneumonia, diare, kerusakan otak, ketulian, kebutaan, hingga penyakit jantung bawaan. Jadwal Pemberian:Vaksin MR diberikan secara suntikan di lengan pada anak-anak mulai usia 9 bulan MR 1 , 18 bulan MR2 dan ulangan/booster pada anak Usia SD kelas 1 saat kegiatan BIAS setiap bulan Agustus. Efek Samping:Efek samping yang umum terjadi sangat ringan, seperti demam ringan, ruam merah, atau bengkak di area suntikan, yang biasanya hilang dalam beberapa hari. Perlindungan Penuh:Vaksin MR memberikan perlindungan yang lebih lengkap dibandingkan vaksin campak saja karena mencakup rubella juga#BIAS#BIAS_MR#Edukasi_kesehatan",https://web.facebook.com/FeviBallu/posts/pfbid0321u7yFPqKNwmEjGzdwYZN1kxoeMTEqjQiDTjJjcrAJEobjqQAvfh8P7PqwRHYReul,,facebook,False,"Vaksin MR (Measles Rubella) adalah vaksin yang digunakan untuk mencegah penyakit campak (measles) dan rubella (campak Jerman). Vaksin ini mengandung virus yang dilemahkan dari kedua penyakit tersebut, sehingga saat disuntikkan, tubuh akan membentuk kekebalan terhadap virus-virus tersebut. Lebih detail mengenai vaksin MR:Penyakit Campak dan Rubella:Campak dan rubella adalah penyakit menular yang disebabkan oleh virus dan dapat ditularkan melalui udara.Pencegahan:Vaksin MR sangat efektif dalam mencegah kedua penyakit ini dan telah terbukti aman serta digunakan di banyak negara. Manfaat:Mencegah campak dan rubella. Mencegah komplikasi serius yang dapat ditimbulkan oleh kedua penyakit, seperti pneumonia, diare, kerusakan otak, ketulian, kebutaan, hingga penyakit jantung bawaan. Jadwal Pemberian:Vaksin MR diberikan secara suntikan di lengan pada anak-anak mulai usia 9 bulan MR 1 , 18 bulan MR2 dan ulangan/booster pada anak Usia SD kelas 1 saat kegiatan BIAS setiap bulan Agustus. Efek Samping:Efek samping yang umum terjadi sangat ringan, seperti demam ringan, ruam merah, atau bengkak di area suntikan, yang biasanya hilang dalam beberapa hari. Perlindungan Penuh:Vaksin MR memberikan perlindungan yang lebih lengkap dibandingkan vaksin campak saja karena mencakup rubella juga#BIAS#BIAS_MR#Edukasi_kesehatan",positive,0.7708487510681152,2025-08-18
Respons Id,2026-03-26 08:41:00+00:00,"Kasus campak lagi meningkat di beberapa daerah, tapi kabar baiknya—Kemenkes memastikan vaksin MR tetap aman dan stoknya cukup di seluruh Indonesia. Bahkan, jutaan dosis… Lihat selengkapnya",https://web.facebook.com/photo/?fbid=122171380550677497&set=a.122104483946677497,,facebook,False,"Kasus campak lagi meningkat di beberapa daerah, tapi kabar baiknya—Kemenkes memastikan vaksin MR tetap aman dan stoknya cukup di seluruh Indonesia. Bahkan, jutaan dosis… Lihat selengkapnya",neutral,0.9332725405693054,2026-03-23
https://www.facebook.com/share/p/175jGvxbaD/,2025-08-22 22:35:00+00:00,Saya posting ulang ya mbak. Bisa langsung baca k fb beliau resiko vaksin MRhttps://www.facebook.com/share/p/175jGvxbaD/… Lihat selengkapnya,https://web.facebook.com/angelina.octa.12/posts/pfbid02aBRkWSgBA2ASGnUGDR53H2NpbkRsLT6BVFgd8mH7VhkcqUMFZM63yppPvibK7jjpl,,facebook,False,Saya posting ulang ya mbak. Bisa langsung baca k fb beliau resiko vaksin MRhttps://www.facebook.com/share/p/175jGvxbaD/… Lihat selengkapnya,neutral,0.9631913900375366,2025-08-18
Fitri Yani,2026-07-14 06:48:00+00:00,"*JADWAL IMUNISASI 0 - 9 BULAN**1. Pas Lahir*  Langsung 3 vaksin:  *Hepatitis B 0* disuntik, *Polio 0* ditetes, *BCG* disuntik di lengan kanan.  Buat cegah Hepatitis B, Polio/lumpuh, sama TBC. BCG nanti bekasnya jadi bopeng kecil ya.*2. Usia 1 Bulan*  *Hepatitis B 1* disuntik.  Lanjutan buat Hepatitis B biar kebalnya makin kuat.*3. Usia 2 Bulan*  Ini paling rame  4 vaksin sekaligus:  *DPT-HB-HiB 1* disuntik di paha  *Polio 1* ditetes  *PCV 1* disuntik  *Rota 1* ditetes ke mulut  Fungsinya buat cegah Difteri, Batuk Rejan, Tetanus, Hepatitis B, Pneumonia, Meningitis, sama Diare berat.*4. Usia 3 Bulan*  Sama kayak 2 bulan, diulang lagi dosis ke-2:  *DPT-HB-HiB 2 + Polio 2 + PCV 2 + Rota 2**5. Usia 4 Bulan*  Dosis terakhir buat yg 4 itu tadi:  *DPT-HB-HiB 3 + Polio 3 + PCV 3 + Rota 3*  Catatan: Rota harus selesai sebelum dede 8 bulan ya Bu. Kalau telat nggak bisa.*6. Usia 9 Bulan*  *Campak-Rubela / MR* disuntik di lengan kiri.  Ini buat cegah Campak sama Rubela. Rubela bahaya banget kalau kena pas udah gede nanti.*YANG PENTING DIINGET*1.  Jarak antar DPT/Polio/PCV/Rota minimal 1 bulan. Makanya pas 2-3-4 bulan2.  Semua gratis di Posyandu & Puskesmas. Bawa Buku KIA ya3.  Kalau kelewat jadwal, langsung kejar aja. Nggak usah ngulang dari awalNah dari semua itu, yg paling sering bikin demam itu DPT pas 2, 3, 4 bulan  O iya, adakah bunda yang debaynya nggak di imunisasi?? Boleh tau alasanya nggak bun#imunisasi#dpt#bayi",https://web.facebook.com/safitri.lopheupholepheld/posts/pfbid0DF1fBzvV7p78eRiv66JbXtnEmscRtYjmNtrAXSwypgWh9aQnfgpbhAwcT9G9Jj3Ll,,facebook,False,"*JADWAL IMUNISASI 0 - 9 BULAN**1. Pas Lahir*  Langsung 3 vaksin:  *Hepatitis B 0* disuntik, *Polio 0* ditetes, *BCG* disuntik di lengan kanan.  Buat cegah Hepatitis B, Polio/lumpuh, sama TBC. BCG nanti bekasnya jadi bopeng kecil ya.*2. Usia 1 Bulan*  *Hepatitis B 1* disuntik.  Lanjutan buat Hepatitis B biar kebalnya makin kuat.*3. Usia 2 Bulan*  Ini paling rame  4 vaksin sekaligus:  *DPT-HB-HiB 1* disuntik di paha  *Polio 1* ditetes  *PCV 1* disuntik  *Rota 1* ditetes ke mulut  Fungsinya buat cegah Difteri, Batuk Rejan, Tetanus, Hepatitis B, Pneumonia, Meningitis, sama Diare berat.*4. Usia 3 Bulan*  Sama kayak 2 bulan, diulang lagi dosis ke-2:  *DPT-HB-HiB 2 + Polio 2 + PCV 2 + Rota 2**5. Usia 4 Bulan*  Dosis terakhir buat yg 4 itu tadi:  *DPT-HB-HiB 3 + Polio 3 + PCV 3 + Rota 3*  Catatan: Rota harus selesai sebelum dede 8 bulan ya Bu. Kalau telat nggak bisa.*6. Usia 9 Bulan*  *Campak-Rubela / MR* disuntik di lengan kiri.  Ini buat cegah Campak sama Rubela. Rubela bahaya banget kalau kena pas udah gede nanti.*YANG PENTING DIINGET*1.  Jarak antar DPT/Polio/PCV/Rota minimal 1 bulan. Makanya pas 2-3-4 bulan2.  Semua gratis di Posyandu & Puskesmas. Bawa Buku KIA ya3.  Kalau kelewat jadwal, langsung kejar aja. Nggak usah ngulang dari awalNah dari semua itu, yg paling sering bikin demam itu DPT pas 2, 3, 4 bulan  O iya, adakah bunda yang debaynya nggak di imunisasi?? Boleh tau alasanya nggak bun#imunisasi#dpt#bayi",negative,0.6654292941093445,2026-07-13
#proteksikesehatan,2026-05-05 07:59:00+00:00,Vaksin MR (Measles Rubella) #proteksikesehatan,https://web.facebook.com/photo/?fbid=26512145968487689&set=a.496004440528531,,facebook,False,Vaksin MR (Measles Rubella) #proteksikesehatan,neutral,0.9971758127212524,2026-05-04
Nini Deritana,2026-04-27 06:06:00+00:00,"Vaksin MR … Menahan Rindu …Untuk para nakes yg kesepian … dan menunjulkan gejala haus kasih sayang … pada pemeriksaan fisik didapatkan … muka kusut , tidak bergairah …Yok sukseskan … vaksin MR … Morbili Rubela … semoga tidak demam soalnya besok jadwal manggung bersama Ndarboy dan Anji…",https://web.facebook.com/nini.deritana/posts/pfbid04rhXZX656ELryzTD9hvor4xULvseo1mbVjo9KLMfW4uwFQFQzX7s7mWiP2rvgPSSl,,facebook,False,"Vaksin MR … Menahan Rindu …Untuk para nakes yg kesepian … dan menunjulkan gejala haus kasih sayang … pada pemeriksaan fisik didapatkan … muka kusut , tidak bergairah …Yok sukseskan … vaksin MR … Morbili Rubela … semoga tidak demam soalnya besok jadwal manggung bersama Ndarboy dan Anji…",neutral,0.39414212107658386,2026-04-27
Mila Tiani Rap Faiqa,2025-08-05 14:12:00+00:00,"Waktu 2017, vaksin haram MR yang disulap mubah dan banyak tewaskan anak-anak Indonesia diklaim untuk eliminasi campak Rubella pada tahun 2020. Lah kok tahun 2025 masih ada . Jangan sekali-kali percaya vaksin, dengan dalih eliminasi atau apapun. Sebab, taruhannya: nyawa!!!",https://web.facebook.com/photo/?fbid=1388056882927835&set=a.1036348834765310,,facebook,False,"Waktu 2017, vaksin haram MR yang disulap mubah dan banyak tewaskan anak-anak Indonesia diklaim untuk eliminasi campak Rubella pada tahun 2020. Lah kok tahun 2025 masih ada . Jangan sekali-kali percaya vaksin, dengan dalih eliminasi atau apapun. Sebab, taruhannya: nyawa!!!",negative,0.9882851839065552,2025-08-04
