index,account,postdate,tweet,link,topic_tag,comments,retweets,likes,shares,replysource
17,bank_fadhil,2025-09-20T11:17:52.000Z,"Kuyy lah udah lama nih ga camping...asiik lho ngecamp bareng gue...why..karena gue mantan chef/bartender/barista ...jadi pasti asik kan bisa ngopi di alam☕😎👌 . Jadi kapan nih kita nge _Camp bareng😎 . *** Gue punya slow bar komplit lah alatnya 🤣👍  Translate 1/2 Kuyy lah udah lama nih ga camping...asiik lho ngecamp bareng gue...why..karena gue mantan chef/bartender/barista ...jadi pasti asik kan bisa ngopi di alam☕😎👌 . Jadi kapan nih kita nge _Camp bareng😎 . *** Gue punya slow bar komplit lah alatnya 🤣👍",https://www.threads.com/@bank_fadhil/post/DO0nROaAU7y,"camping",0,0,0,0,NaN
18,syahruni.ps,2025-10-02T15:06:48.000Z,"Edisi camping bareng keuarga 🙈 1/3 Edisi camping bareng keuarga 🙈",https://www.threads.com/@syahruni.ps/post/DPT7AfHE0fX,"",0,0,0,0,NaN
19,ainnhdie,2025-10-10T11:59:00.000Z,"jiwaku meronta mau hiking ! jiwaku meronta mau hiking !",https://www.threads.com/@ainnhdie/post/DPoL4GeE2sn,"",0,0,0,0,NaN
20,andydrm_,2025-01-12T02:45:59.000Z,"Apa gua doang yg suka camp tanpa hiking 🙂‍↕️ Apa gua doang yg suka camp tanpa hiking 🙂‍↕️",https://www.threads.com/@andydrm_/post/DEtY8bEym_b,"",0,0,0,0,NaN
21,era_puspayanti,2025-10-28T02:20:37.000Z,"Kadek dan komang  Translate Kadek dan komang",https://www.threads.com/@era_puspayanti/post/DQVf_iakcO0,"",0,0,0,0,NaN
22,trisna___w,2025-12-02T09:10:13.000Z,"Kayak cewe cewe kalemmm 🤗 Kayak cewe cewe kalemmm 🤗",https://www.threads.com/@trisna___w/post/DRwWsRxElvt,"",0,0,0,0,NaN
23,mangkasara_,2025-05-05T13:51:08.000Z,"Cemas ku liat ki kanda 😭 Cemas ku liat ki kanda 😭",https://www.threads.com/@mangkasara_/post/DJRjGynTtHo,"",0,0,0,0,NaN
24,akmalaziqq._,2025-12-14T08:48:25.000Z,"teman hiking ? teman hiking ? Puncak Bukit Telipong",https://www.threads.com/@akmalaziqq._/post/DSPNvFKkh5_,"Hiking Threads",0,0,0,0,NaN
25,heygagaaa,2025-06-26T03:54:49.000Z,"First time hiking dan camping berdua 😅 First time hiking dan camping berdua 😅",https://www.threads.com/@heygagaaa/post/DLWYHJfyeWe,"",0,0,0,0,NaN
26,afganfazri,2025-10-28T10:53:10.000Z,"Siapa yang pengen camping kesini? ☝️ Siapa yang pengen camping kesini? ☝️ Untuk detailnya bisa tanya aja ke @pinetrees.bdg Untuk detailnya bisa tanya aja ke @pinetrees.bdg @pinetrees.bdg #campinglife #campervan #campingceria  Translate #campinglife #campervan #campingceria",https://www.threads.com/@afganfazri/post/DQWapbWEq5r,"",0,0,0,0,NaN
27,irwansyah_el97,2025-05-09T06:43:05.000Z,"Ini tektok apa camp?? Ini tektok apa camp?? #pendaki #pendakiindonesia #pendaki #pendakiindonesia",https://www.threads.com/@irwansyah_el97/post/DJbFTNKJr-z,"",0,0,0,0,NaN
28,sherly.ernawati.583,2025-02-06T23:46:40.000Z,"Kmaren ku cinta  Kmu nya bertingkah  Translate Kmaren ku cinta  Kmu nya bertingkah",https://www.threads.com/@sherly.ernawati.583/post/DFwBTscTMe6,"",0,0,0,0,NaN
29,ikigaicampervan.family,2025-06-21T21:46:00.000Z,"#campingground #camping #campervan #liburan #campingground #camping #campervan #liburan Magelang, Jawa Tengah",https://www.threads.com/@ikigaicampervan.family/post/DLLaz-lPMPw,"",0,0,0,0,NaN
30,elel_abu,2025-10-15T12:40:57.000Z,"Siapa suka camping? Siapa suka camping?",https://www.threads.com/@elel_abu/post/DP1IpoZAVxy,"",0,0,0,0,NaN
31,arya_embun.id,2025-05-09T10:13:44.000Z,"Kompor meleduk 😂😂😂😂 Kompor meleduk 😂😂😂😂",https://www.threads.com/@arya_embun.id/post/DJbdaDcz7RY,"",0,0,0,0,NaN
32,mlv.em_,2025-08-27T10:30:26.000Z,"Demi jj sanggup hiking Demi jj sanggup hiking",https://www.threads.com/@mlv.em_/post/DN2uwsD5Dri,"",0,0,0,0,NaN
33,luqmanakim_,2025-05-28T13:48:07.000Z,"Ada geng kaki camping sini Ada geng kaki camping sini Kuantan,pahang",https://www.threads.com/@luqmanakim_/post/DKMxDHJJCPo,"",0,0,0,0,NaN
34,silviafortunaa,2025-10-13T22:30:11.000Z,"Jadi pengen ndaki ngunung camping ~ Jadi pengen ndaki ngunung camping ~",https://www.threads.com/@silviafortunaa/post/DPxCfmZkjWc,"",0,0,0,0,NaN
35,jihaanmuhraini,2025-03-15T07:21:28.000Z,"ketemu kaca, cekreekkk !! ketemu kaca, cekreekkk !!",https://www.threads.com/@jihaanmuhraini/post/DHNh-dgToqK,"",0,0,0,0,NaN
36,lupita_sariawan,2025-09-10T10:28:38.000Z,"Kmna² kaki melangkah Kmna² kaki melangkah",https://www.threads.com/@lupita_sariawan/post/DOaxrfGATPe,"",0,0,0,0,NaN
37,hafizaquafiz,2025-11-21T17:12:26.000Z,"Terkapai kapai ku kelemasan.. Terkapai kapai ku kelemasan..",https://www.threads.com/@hafizaquafiz/post/DRU5IeXj4c3,"",0,0,0,0,NaN
38,awal.adrians,2025-10-22T11:25:30.000Z,"awal.adriansVerified Capekku kodong 😭😭 Capekku kodong 😭😭",https://www.threads.com/@awal.adrians/post/DQHBk-FDb1Z,"",0,0,0,0,NaN
39,queen_tunggal,2025-10-24T00:14:23.000Z,"Lagunya candu kaya kmu🤭 Lagunya candu kaya kmu🤭",https://www.threads.com/@queen_tunggal/post/DQK-XQskpub,"",0,0,0,0,NaN
40,dandd__i,2025-08-08T03:50:08.000Z,"Cemas kau deck Cemas kau deck",https://www.threads.com/@dandd__i/post/DNFF2X3TNap,"",0,0,0,0,NaN
41,ammarxadelia,2025-10-31T10:25:00.000Z,"Bicara alam Bicara alam",https://www.threads.com/@ammarxadelia/post/DQeFz_QE2-c,"camping",0,0,28,0,NaN
42,hermiza.ilmiah,2025-08-29T14:25:32.000Z,"Hiking mode on🤸 Hiking mode on🤸 📍@camping.ground.kelir 📍@camping.ground.kelir #instapurbalingga #gunungkelir #hikinggirl #instapurbalingga #gunungkelir #hikinggirl Basecamp Gunung Kelir Purbalingga",https://www.threads.com/@hermiza.ilmiah/post/DN8TQl3E9x-,"",0,0,0,0,NaN
43,yusrillyusuf_,2025-10-09T11:23:24.000Z,"Kamis itu K nyaa kampret  Translate Kamis itu K nyaa kampret",https://www.threads.com/@yusrillyusuf_/post/DPljAZ6kvtA,"",0,0,0,0,NaN
44,jemappellemita,2025-12-20T22:14:44.000Z,"CAMPAK + PNEUMONIA Ketakutan terbesar sebagai ibu.  Hai Threads, aku mau berbagi cerita buat para Buibu tentang kisah perjuangan toodler mungilku yang berjuang lawan Campak dan Pneumonia.  Awal bulan November dia udah demam naik turun selama seminggu (dan ini kita udah bawa ke DSA dan udah dikasih obat juga),lalu beberapa hari kemudian obat itu udah kaya ga mempan  Translate 1/8 CAMPAK + PNEUMONIA Ketakutan terbesar sebagai ibu.  Hai Threads, aku mau berbagi cerita buat para Buibu tentang kisah perjuangan toodler mungilku yang berjuang lawan Campak dan Pneumonia.  Awal bulan November dia udah demam naik turun selama seminggu (dan ini kita udah bawa ke DSA dan udah dikasih obat juga),lalu beberapa hari kemudian obat itu udah kaya ga mempan",https://www.threads.com/@jemappellemita/post/DSgGx6DE7KJ,"pneumonia",0,0,0,0,NaN
45,dr.maiza,2025-10-26T11:17:07.000Z,"dr.maizaVerified Prevention is better than cure 💉 Vaksin penting untuk Wanita : ✨️ Kanser pangkal rahim = Vaksin HPV (sebelum hamil) ✨️ Sindrom rubella kongenital = Vaksin Rubella	MMR (sebelum hamil) ✨️ Hepatitis B = Vaksin Hepatitis B	(sebelum hamil) ✨️ Influenza = Vaksin 	Influenza (sebelum/ ketika hamil) ✨️ Tetanus,  Diphtheria, Pertussis = 	Vaksin Tdap (kehamilan minggu 27–36)	 ✨️ Respiratory Syncytial Virus = Vaksin RSV (kehamilan minggu 32) ✨️ Varicella (Cacar air)	= Vaksin Varicella (sebelum hamil) Prevention is better than cure 💉 Vaksin penting untuk Wanita : ✨️ Kanser pangkal rahim = Vaksin HPV (sebelum hamil) ✨️ Sindrom rubella kongenital = Vaksin Rubella	MMR (sebelum hamil) ✨️ Hepatitis B = Vaksin Hepatitis B	(sebelum hamil) ✨️ Influenza = Vaksin 	Influenza (sebelum/ ketika hamil) ✨️ Tetanus,  Diphtheria, Pertussis = 	Vaksin Tdap (kehamilan minggu 27–36)	 ✨️ Respiratory Syncytial Virus = Vaksin RSV (kehamilan minggu 32) ✨️ Varicella (Cacar air)	= Vaksin Varicella (sebelum hamil)",https://www.threads.com/@dr.maiza/post/DQRTzQaklbO,"",0,0,0,0,NaN
46,paremom84,2025-06-19T19:36:32.000Z,"Anyone have any idea what kind of bite this might be? It's on my 2 year old grandgirl's leg. She lives on a farm. She arrived here with it. Parents don't know. She's now got a low grade fever. Anyone have any idea what kind of bite this might be? It's on my 2 year old grandgirl's leg. She lives on a farm. She arrived here with it. Parents don't know. She's now got a low grade fever.",https://www.threads.com/@paremom84/post/DLGCaOchv9O,"",1400,0,673,0,NaN
47,johngerman.o,2025-10-14T05:09:30.000Z,"On September 25, 2025, I lost my beautiful 17-day-old baby boy to a massive enterovirus infection. On September 25, 2025, I lost my beautiful 17-day-old baby boy to a massive enterovirus infection. The doctors told us it was “like a common cold virus.” But that “cold” overwhelmed his tiny body. The doctors told us it was “like a common cold virus.” But that “cold” overwhelmed his tiny body. Watching his final moments be ruined by a pulmonary embolism, knowing it was “just a cold,” was the most devastating experience of my life. Nothing has looked the same since. Watching his final moments be ruined by a pulmonary embolism, knowing it was “just a cold,” was the most devastating experience of my life. Nothing has looked the same since. Now, as a measles outbreak appears in a nearby town, I see people on here saying measles “isn’t that bad.” Neither is a cold. 1/2 Now, as a measles outbreak appears in a nearby town, I see people on here saying measles “isn’t that bad.” Neither is a cold.",https://www.threads.com/@johngerman.o/post/DPxwMS5Df6N,"Measles",44,0,14100,0,NaN
48,syd_reads50,2025-03-07T21:05:54.000Z,"My son (12 months old) got the first dose of the MMR (mumps, measles, and rubella) vaccine today. Why, you ask? Oh, because vaccines save lives and I don’t want my child to die 🙃 *all anti-vaxxers who dare to comment will be blocked* My son (12 months old) got the first dose of the MMR (mumps, measles, and rubella) vaccine today. Why, you ask? Oh, because vaccines save lives and I don’t want my child to die 🙃 *all anti-vaxxers who dare to comment will be blocked*",https://www.threads.com/@syd_reads50/post/DG6Z91khVWp,"",1300,0,23800,0,NaN
49,jhwoolman,2025-10-26T22:13:48.000Z,"Got my flu shot on Friday, and a COVID booster. Yesterday I had two bright red dots on my arm. Got my flu shot on Friday, and a COVID booster. Yesterday I had two bright red dots on my arm. Today I have this…what is this? 1/2 Today I have this…what is this?",https://www.threads.com/@jhwoolman/post/DQSe9APEbRv,"",2100,0,265,0,NaN
50,busy_witchy_mama,2025-03-01T21:58:23.000Z,"The MMR vaccine almost killed my brother. He's extremely allergic to it. He is not protected from measles, mumps, and rubella. The MMR vaccine almost killed my brother. He's extremely allergic to it. He is not protected from measles, mumps, and rubella. As nervous as I get every time, my children have had their MMR shots. Why? Because they're not deathly allergic, and vaccinating my kids protects people like my brother who can't be. As nervous as I get every time, my children have had their MMR shots. Why? Because they're not deathly allergic, and vaccinating my kids protects people like my brother who can't be. Now I have a 3 month old who's too young for the shot. We live in North Texas. I am angry and scared for him. Measles in West Texas, rubella in Austin. It doesn't have to be this way. Now I have a 3 month old who's too young for the shot. We live in North Texas. I am angry and scared for him. Measles in West Texas, rubella in Austin. It doesn't have to be this way.",https://www.threads.com/@busy_witchy_mama/post/DGrDM5LyP1U,"",26,0,7000,0,NaN
51,rubin_allergy,2025-03-07T04:31:48.000Z,"rubin_allergyVerified Measles is very contagious and can be a very serious infection. #viral #measles #doctor Measles is very contagious and can be a very serious infection. #viral #measles #doctor",https://www.threads.com/@rubin_allergy/post/DG4oMkOsCeK,"",277,0,5200,0,NaN
52,micaelaboyt,2025-12-23T05:51:02.000Z,"This is so random but A few yrs ago, my man got MRSA on his forearm & instead of seeing a Dr, he asked me to make some kind of “healing food” This is so random but A few yrs ago, my man got MRSA on his forearm & instead of seeing a Dr, he asked me to make some kind of “healing food” I didn’t know what to make so I went back to my Mexican roots & made a huge pot of caldo - it had SO many onions (like at least 10 of em), 2-3 heads of sliced garlic, & a lil bit of celery/kale/zuchini… I didn’t know what to make so I went back to my Mexican roots & made a huge pot of caldo - it had SO many onions (like at least 10 of em), 2-3 heads of sliced garlic, & a lil bit of celery/kale/zuchini… And guess what? The MRSA was gone in 2 days. He ate that caldo for breakfast, lunch, & dinner… & 2 days later, the infection was completely healed. 1/2 And guess what? The MRSA was gone in 2 days. He ate that caldo for breakfast, lunch, & dinner… & 2 days later, the infection was completely healed.",https://www.threads.com/@micaelaboyt/post/DSmElwKANQZ,"",0,0,0,0,NaN
53,dgorsuch23,2025-02-27T13:05:51.000Z,"NO RFK! This is not a normal measles season- this is the first time in 10 years someone has died from measles.😢 NO RFK! This is not a normal measles season- this is the first time in 10 years someone has died from measles.😢",https://www.threads.com/@dgorsuch23/post/DGk8qxBOwo4,"",0,0,1300,0,NaN
54,dr.mo.ibrahim,2025-07-27T22:01:26.000Z,"dr.mo.ibrahimVerified A non-vaccinated child presents with cough, runny nose, inflamed eyes, sore throat, fever, and a red, blotchy skin rash. what is your diagnosis? A non-vaccinated child presents with cough, runny nose, inflamed eyes, sore throat, fever, and a red, blotchy skin rash. what is your diagnosis?",https://www.threads.com/@dr.mo.ibrahim/post/DMoJMuzB-nI,"",0,0,0,0,NaN
55,kay_wise_threads,2025-09-04T00:39:54.000Z,"Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/ 1/4 Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/",https://www.threads.com/@kay_wise_threads/post/DOKRiodkYEO,"",1000,1200,16400,297,NaN
56,tucci222,2025-02-25T15:35:17.000Z,"The CBS News says that measles may lead to hospitalization and death.That's crazy when I was growing up.Everybody got the measles and the Momps Which I don't hear of anymore. Nobody died. Nobody went to the hospital. I used to visit my friends when they were broke out with the measles. Little red bumps all over. I had them tno problem later on. They can cause shingles. That's the only drawback, but even though you're vaccinated, you can still get the shingles, I believe. The CBS News says that measles may lead to hospitalization and death.That's crazy when I was growing up.Everybody got the measles and the Momps Which I don't hear of anymore. Nobody died. Nobody went to the hospital. I used to visit my friends when they were broke out with the measles. Little red bumps all over. I had them tno problem later on. They can cause shingles. That's the only drawback, but even though you're vaccinated, you can still get the shingles, I believe.",https://www.threads.com/@tucci222/post/DGgELhnzVQX,"",0,0,0,0,NaN
57,lady.elizabeth07,2025-08-07T00:31:53.000Z,"Ok my family and friends am back in the hospital with Mrsa on my scalp from where I burn it 3weeks ago ok so I ask please once again keep in your prayers yall know how I hate hospitals... Ok my family and friends am back in the hospital with Mrsa on my scalp from where I burn it 3weeks ago ok so I ask please once again keep in your prayers yall know how I hate hospitals... Medical Center of Arlington",https://www.threads.com/@lady.elizabeth07/post/DNCKXWlOs77,"",0,0,0,0,NaN
58,mody.ankita1591,2025-10-31T17:42:57.000Z,"Rubroo 🙌 Rubroo 🙌",https://www.threads.com/@mody.ankita1591/post/DQe37WAksbD,"",0,0,0,0,NaN
59,forever_evolving_415,2025-03-27T14:05:37.000Z,"How many people actually remember measles and chickenpox before vaccines.?.. Why is it so deadly now all of a sudden.. I mean years ago it used to just run its course right? I'm confused just trying to make sense of it all How many people actually remember measles and chickenpox before vaccines.?.. Why is it so deadly now all of a sudden.. I mean years ago it used to just run its course right? I'm confused just trying to make sense of it all",https://www.threads.com/@forever_evolving_415/post/DHtJxBogYF2,"",0,0,0,0,NaN
60,celebritywordd,2025-06-29T01:10:41.000Z,"I learned newborns get a Hep B vaccine—an STD-related shot—I started digging deep into the list of vaccines they give babies. It makes no sense why a brand-new baby needs so many. Props to RFK Jr. for speaking up! I learned newborns get a Hep B vaccine—an STD-related shot—I started digging deep into the list of vaccines they give babies. It makes no sense why a brand-new baby needs so many. Props to RFK Jr. for speaking up!",https://www.threads.com/@celebritywordd/post/DLdzzdDxK-y,"",0,0,0,0,NaN
61,nani_wai,2025-01-02T22:09:22.000Z,"Things I will not be getting in 2025 Things I will not be getting in 2025 - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella Because of vaccines. Because of vaccines. I’m vaccinated. I’m vaccinated.",https://www.threads.com/@nani_wai/post/DEVuWkyzJjW,"",128,0,21200,0,NaN
62,late.july,2025-03-11T23:53:39.000Z,"late.julyVerified All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. Science is so neat. Science is so neat.",https://www.threads.com/@late.july/post/DHFAV4Xy4Wi,"",0,0,19400,0,NaN
63,dr.mo.ibrahim,2025-03-29T09:08:19.000Z,"dr.mo.ibrahimVerified This patient presented with an acute eruption on the hand. The patient was in good general health and not in therapy with systemic drugs. The first vesicles and blisters appeared during a trip in SriLanka. What is your diagnosis? This patient presented with an acute eruption on the hand. The patient was in good general health and not in therapy with systemic drugs. The first vesicles and blisters appeared during a trip in SriLanka. What is your diagnosis?",https://www.threads.com/@dr.mo.ibrahim/post/DHxxVPlu3km,"",0,0,0,0,NaN
64,xuanqing.0726,2025-08-06T09:32:00.000Z,"Cantarella Cantarella",https://www.threads.com/@xuanqing.0726/post/DNAjYgPvPyk,"",0,0,0,0,NaN
65,thedameliajones,2025-11-13T00:39:26.000Z,"🚨Parents beware!!🚨 🚨Parents beware!!🚨 There is a virus going around called “Croup”. I had never heard of this until today. Apparently its alot worse in toddlers. Emory has it. There is a virus going around called “Croup”. I had never heard of this until today. Apparently its alot worse in toddlers. Emory has it. Common symptoms include a barking cough, fever, runny nose, and high-pitched “creaking” or whistling sound (stridor) when breathing in. Common symptoms include a barking cough, fever, runny nose, and high-pitched “creaking” or whistling sound (stridor) when breathing in.",https://www.threads.com/@thedameliajones/post/DQ-hIhFjBfT,"",0,0,0,0,NaN
